datetime, tempC, presPa, humRH
2022/08/25 22:45:01, 10.060000, 101807.832031, 87.103516
2022/08/25 22:50:02, 10.020000, 101807.882812, 87.202148
2022/08/25 22:55:01, 9.990000, 101808.105469, 87.350586
2022/08/25 23:00:01, 9.970000, 101806.960938, 87.464844
2022/08/25 23:05:01, 9.960000, 101804.722656, 87.497070
2022/08/25 23:10:01, 9.950000, 101801.074219, 87.613281
2022/08/25 23:15:02, 9.950000, 101798.468750, 87.602539
2022/08/25 23:20:01, 9.940000, 101801.757812, 87.850586
2022/08/25 23:25:01, 9.940000, 101798.519531, 87.850586
2022/08/25 23:30:02, 9.930000, 101793.312500, 87.914062
2022/08/25 23:35:01, 9.930000, 101795.871094, 87.793945
2022/08/25 23:40:01, 9.920000, 101792.269531, 87.922852
2022/08/25 23:45:01, 9.930000, 101793.386719, 87.922852
2022/08/25 23:50:01, 9.940000, 101794.433594, 87.926758
2022/08/25 23:55:01, 9.930000, 101793.996094, 88.033203
2022/08/26 00:00:01, 9.930000, 101794.750000, 88.009766
2022/08/26 00:05:01, 9.910000, 101795.308594, 88.041016
2022/08/26 00:10:02, 9.890000, 101799.593750, 88.080078
2022/08/26 00:15:01, 9.880000, 101806.890625, 88.077148
2022/08/26 00:20:01, 9.870000, 101812.781250, 88.065430
2022/08/26 00:25:01, 9.860000, 101809.105469, 88.118164
2022/08/26 00:30:01, 9.860000, 101809.007812, 88.192383
2022/08/26 00:35:01, 9.860000, 101810.324219, 88.301758
2022/08/26 00:40:01, 9.860000, 101814.000000, 88.335938
2022/08/26 00:45:01, 9.870000, 101814.289062, 88.380859
2022/08/26 00:50:02, 9.880000, 101814.144531, 88.469727
2022/08/26 00:55:01, 9.890000, 101813.390625, 88.558594
2022/08/26 01:00:01, 9.890000, 101813.777344, 88.591797
2022/08/26 01:05:02, 9.900000, 101809.785156, 88.515625
2022/08/26 01:10:01, 9.900000, 101810.226562, 88.441406
2022/08/26 01:15:01, 9.900000, 101806.257812, 88.558594
2022/08/26 01:20:01, 9.890000, 101802.539062, 88.657227
2022/08/26 01:25:01, 9.880000, 101800.859375, 88.666016
2022/08/26 01:30:02, 9.890000, 101794.777344, 88.643555
2022/08/26 01:35:01, 9.890000, 101793.585938, 88.502930
2022/08/26 01:40:01, 9.880000, 101787.914062, 88.611328
2022/08/26 01:45:02, 9.870000, 101782.855469, 88.880859
2022/08/26 01:50:01, 9.870000, 101784.605469, 88.750977
2022/08/26 01:55:01, 9.880000, 101785.382812, 88.642578
2022/08/26 02:00:02, 9.880000, 101786.843750, 88.687500
2022/08/26 02:05:01, 9.860000, 101781.246094, 88.768555
2022/08/26 02:10:01, 9.870000, 101782.632812, 88.718750
2022/08/26 02:15:01, 9.870000, 101780.687500, 88.729492
2022/08/26 02:20:01, 9.870000, 101777.281250, 88.674805
2022/08/26 02:25:02, 9.870000, 101774.121094, 88.685547
2022/08/26 02:20:02, 9.850000, 101772.707031, 88.745117
2022/08/26 02:30:49, 9.850000, 101771.738281, 88.778320
2022/08/26 02:35:01, 9.850000, 101766.578125, 88.875977
2022/08/26 02:40:02, 9.850000, 101765.167969, 88.854492
2022/08/26 02:45:01, 9.840000, 101759.496094, 88.908203
2022/08/26 02:50:01, 9.840000, 101755.312500, 88.993164
2022/08/26 02:55:01, 9.830000, 101752.054688, 88.958984
2022/08/26 03:00:01, 9.830000, 101751.109375, 88.935547
2022/08/26 03:05:02, 9.790000, 101745.855469, 88.895508
2022/08/26 03:10:01, 9.790000, 101744.980469, 89.048828
2022/08/26 03:15:01, 9.800000, 101745.511719, 89.050781
2022/08/26 03:20:02, 9.800000, 101742.863281, 88.985352
2022/08/26 03:25:01, 9.800000, 101741.160156, 88.942383
2022/08/26 03:30:01, 9.790000, 101743.617188, 88.940430
2022/08/26 03:35:01, 9.790000, 101745.222656, 89.016602
2022/08/26 03:40:01, 9.780000, 101744.859375, 89.067383
2022/08/26 03:45:01, 9.770000, 101745.855469, 88.860352
2022/08/26 03:50:01, 9.760000, 101749.066406, 88.900391
